"Module","Instruction Time","Development Time"
"Module 1 - Intro To Python Programming","37 Hrs","25.5 Hrs"
"├── Intro to Python","├── 1 Hr","├── 1 Hr"
"├── Installation","├── 3 Hrs","├── .5 Hr"
"├── Github And Terminal","├── 3 Hrs","├── 3 Hrs"
"├── Basic Data Types Variables And Operators","├── 9 Hrs","├── 9 Hrs"
"    ├── Variables and Operators","    ├── 3 Hrs","    ├── 3 Hrs"
"    ├── String and Numbers","    ├── 3 Hrs","    ├── 3 Hrs"
"    └── Lists and Dictionaries","    └── 3 Hrs","    └── 3 Hrs"
"├── Conditional Statements and Loops","├── 3 Hrs","├── 3 Hrs"
"├── Functions and Modules","├── 3 Hrs","├── 3 Hrs"
"├── File Input and Output And Using Dependencies","├── 3 Hrs","├── 3 Hrs"
"└── Error Handling and Debugging","└── 3 Hrs","└── 3 Hrs"
"Module 2 - Data Structures And Regex","6 Hrs","6 Hrs"
"├── Lists, Tuples, Sets and Dictionaries","├── 3 Hrs","├── 3 Hrs"
"└── Regular Expressions","└── 3 Hrs","└── 3 Hrs"
"Module 3 - Functional Programming","12 Hrs","12 Hrs"
"├── Functional Programming Techniques","├── 3 Hrs","├── 3 Hrs"
"├── Generator Comprehension","├── 3 Hrs","├── 3 Hrs"
"├── Lambda Functions","├── 3 Hrs","├── 3 Hrs"
"└── Map, Filter, and Reduce","└── 3 Hrs","└── 3 Hrs"
"Module 4 - Object Oriented Programming","6 Hrs","6 Hrs"
"├── Classes","├── 3 Hrs","├── 3 Hrs"
"└── Objects","└── 3 Hrs","└── 3 Hrs"
"Module 5 - Web Development","12 Hrs","6 Hrs"
"├── Backend (FastAPI and Working with Data)","├── 6 Hrs","├── 3 Hrs"
"└── Frontend (HTML, CSS, and PyScript)","└── 6 Hrs","└── 3 Hrs"
"Module 6 - Data Visualization and Browser Automation","12 Hrs","6 Hrs"
"├── Browser Automation (Beautiful Soup)","├── 6 Hrs","├── 3 Hrs"
"└── Visualization (MatPlotLib)","└── 6 Hrs","└── 3 Hrs"
"","",
"Total","85 Hrs","61.5 Hrs"
